name,id,cg
凌陽,2401,"'半導體','IP設計_IC設計代工服務'"
毅嘉,2402,"'PCB','硬板、軟板、IC載板製造'"
漢唐,2404,
輔信,2405,'PC'
國碩,2406,'太陽能產業'
南亞科,2408,"'半導體','DRAM製造','晶圓製"
友達,2409,"'太陽能產業','矽晶圓_矽晶片','平面"
中華電,2412,"'智慧電網','系統整合服務'"
環科,2413,"'被動元件','電容器','通信網路'"
精技,2414,
錩新,2415,"'其他','鋼鐵"
圓剛,2417,'PC'
仲琦,2419,"'太空衛星科技','太空衛星科技:低軌衛星'"
新巨,2420,'PC'
建準,2421,"'面板',  '醫療器材"
固緯,2423,
隴華,2424," '建設業','通信網路'"
承啟,2425,"'PC','主機板'"
鼎元,2426,"'LED','燈具_應用'"
三商電,2427,"'觸控面板','觸控面板:自動售票機','觸控面板:金"
興勤,2428,"'被動元件','電阻器'"
銘旺科,2429,"'面板',  '觸控面板"
燦坤,2430,"'貿易百貨','零售通路'週邊設備"
聯昌,2431,"'PC','電源供應器'"
互盛電,2433,
統懋,2434,"'半導體','其他IC_二極體製造','半導體"
偉詮電,2436,"'元宇宙','高速傳輸','半導體','半導"
翔耀,2438,"'LED','燈具_應用'"
美律,2439,"'能源元件','電池模組','通信網路', "
太空梭,2440,"'PC','連接線'"
超豐,2441,"'半導體','IC封裝測試'"
新美齊,2442,'建商'
昶虹,2443,
兆勁,2444,'PC'
京元電子,2449,"'半導體','IC封裝測試'"
神腦,2450,"'通信網路','行動電話、衛星"
創見,2451,"'半導體','IC模組','PC',"
凌群,2453,"'AI','系統整合'"
聯發科,2454,"'半導體','光儲存控制IC','平面"
全新,2455,"'半導體','晶圓製造','砷化鎵'"
飛宏,2457,"'電動車輛產業','大功率鋰電池芯_模組、"
義隆,2458,"'半導體','微控制器IC','消費性"
敦吉,2459,"'其他','其他"
建通,2460,'連接器設計、組裝及製造'
光群雷,2461,
良得電,2462,'連接器設計、組裝及製造'
盟立,2464,"'電機','機電系統工程'"
麗臺,2465,"'營運發行','醫療器材', "
冠西電,2466,"'其他','環保潔能服務產業',"
志聖,2467,"'半導體','生產製程及檢測設備','印刷電路"
華經,2468,'軟體服務'
資通,2471,"'AI','系統整合','大數據'"
立隆電,2472,"'被動元件','電容器'"
可成,2474,"'PC','機殼'"
鉅祥,2476,"'面板',  '通信網路"
美隆電,2477,
大毅,2478,"'面板',  '被動元件"
敦陽科,2480,"'AI','系統整合','資料"
強茂,2481,"'半導體','其他IC_二極體製造','半導體"
連宇,2482,
