代碼,股本,ROE%,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日,每股淨值
2543,45.5,3.6,4.4,-9.4,-16.3,180.9,,,,2025/04,,20.5
2545,32.8,0.8,1.3,100.6,260.7,-80.8,2025/06/17,5月營收18.85億元,,2025/05,,42.1
2547,103.5,20.1,0.9,-22.4,-7.5,3659.8,,,,2025/04,,14.2
2548,30.4,-0.6,1.8,-2.2,40.1,-68.1,,,,2025/04,,62.5
2597,25.9,5.6,5.5,17.3,3.2,31.8,2025/06/11,6/11除息7.70元,,2025/04,,33.0
2601,82.5,-1.9,0.6,-10.7,-9.6,-79.2,,,2025/06/13,2025/04,,10.9
2603,216.6,4.5,0.8,-18.0,-12.1,52.8,2025/06/19,5月營收263.72億元,,2025/05,,284.0
2606,84.5,0.6,1.2,2.7,-2.2,-76.9,2025/06/18,6/18除息3.20元,,2025/04,,49.5
2607,106.7,2.6,1.0,-12.6,-4.8,57.2,2025/06/13,6/13除息1.30元,,2025/04,,33.9
2609,349.2,2.3,0.7,-16.4,-5.6,-16.9,,,,2025/04,,100.2
2610,608.4,5.0,1.5,8.0,3.3,36.5,,,,2025/04,,14.8
2613,14.8,1.0,1.2,6.0,1.0,57.6,,,,2025/04,,22.8
2614,30.0,1.3,1.2,1.1,14.6,872.7,,,,2025/04,,14.2
2615,280.6,3.3,1.0,13.2,-2.9,88.9,2025/06/24,6/24除息3.50元,,2025/04,,97.3
2617,41.7,1.3,0.6,-12.4,-5.1,-28.2,,5月營收3.38億元,2025/06/10,2025/05,,44.5
2618,540.0,5.0,1.9,3.4,1.4,22.4,,,,2025/04,,21.4
2633,562.8,2.6,2.1,5.6,0.8,-11.6,,5月營收45.52億元,,2025/05,,13.1
2634,94.2,1.3,2.2,-6.2,-11.8,-70.4,2025/07/09,7/9除息1.38元,,2025/04,,19.6
2637,74.6,-0.3,0.9,-34.3,-8.2,-112.1,2025/06/13,5月營收12.46億元,,2025/05,,70.1
2641,31.8,0.9,0.8,43.0,0.2,-51.0,2025/06/27,6/27除息0.50元,,2025/04,,24.0
2645,37.5,4.4,3.5,18.0,1.1,9.6,,,,2025/04,,32.3
2646,300.9,3.0,2.5,35.2,1.3,46.9,,,2025/06/13,2025/04,,10.1
2731,9.3,9.5,3.3,4.7,2.7,31.1,,,,2025/04,,49.2
2739,9.2,3.7,2.5,2.1,-16.8,-65.8,,,,2025/04,,16.5
2745,3.4,15.7,4.2,13.9,-7.1,37.9,,,2025/06/16,2025/04,,29.4
2801,1120.6,2.0,1.0,0.6,-7.4,7.9,,5月營收35.55億元,2025/06/13,2025/05,,18.3
2809,111.1,1.1,1.0,-7.0,35.5,-68.8,,,2025/06/26,2025/05,,50.1
2834,916.8,2.2,1.0,13.3,0.3,3.2,,,2025/06/20,2025/04,,14.6
2836,178.6,1.0,0.8,20.7,-7.6,55.0,,,,2025/04,,14.0
2845,427.5,1.8,0.9,-12.4,-9.1,-10.8,,,,2025/04,,14.6
2851,80.0,3.0,1.0,-39.5,-32.9,-41.5,,,,2025/04,,26.1
2855,145.6,-0.2,0.9,-50.2,3.9,-103.6,,,,2025/04,,24.2
2867,570.0,0.5,0.8,-34.8,-30.7,-93.9,,,,2025/04,,6.4
2886,1483.3,2.2,1.6,-1.9,20.8,-30.3,,5月營收68.49億元,2025/06/20,2025/05,,25.3
2887,1297.6,2.1,1.0,10.3,-4.9,-5.6,,,2025/06/23,2025/04,,16.3
2888,1771.2,-4.6,0.8,-256.3,-540.9,-502.0,,,2025/06/23,2025/04,,14.3
2889,353.2,1.0,1.1,-92.8,-92.2,-38.7,,4月營收0.40億元,,2025/04,,12.0
2890,1268.6,3.4,1.4,5.0,7.6,5.1,,5月營收54.61億元,,2025/05,,16.8
2891,1965.0,3.9,1.7,-23.2,-46.7,-4.0,,,2025/06/13,2025/04,,24.6
2892,1402.9,2.6,1.4,2.3,-2.5,2.7,,自結前5月合併獲利112.45億元,2025/06/20,2025/04,,19.7
2903,141.7,1.6,1.0,-3.3,-15.5,-17.0,2025/06/24,6/24除息1.35元,,2025/04,,22.8
2905,112.2,0.7,0.9,-12.7,-9.1,-90.2,,,2025/06/13,2025/04,,14.1
2912,104.0,6.3,5.9,6.3,0.6,-1.0,2025/07/31,7/31除息9.00元,,2025/04,,43.8
2915,110.4,3.2,0.6,2.0,-3.4,-26.1,,6/18法說會,,2025/04,2025/06/18,92.3
3003,15.6,1.1,1.3,-8.9,-11.0,-49.6,,5月營收3.49億元,2025/06/10,2025/05,,41.3
3005,62.0,5.0,3.5,6.9,-12.8,10.8,2025/06/26,6/26除息6.00元,,2025/04,,35.7
3006,28.6,-0.8,1.5,-10.1,9.1,-29.7,,5月營收11.26億元,2025/06/10,2025/05,,36.6
3008,13.4,3.5,1.7,-7.1,-26.0,7.1,,5月營收32.38億元,,2025/05,,1362.7
3013,20.5,3.8,4.5,14.0,5.3,126.8,,5月營收9.89億元,2025/06/13,2025/05,,22.7
3014,16.6,7.3,4.0,15.2,-1.5,15.4,,5月營收6.47億元,,2025/05,,34.4
3015,18.7,0.3,0.8,23.0,0.3,-61.7,2025/06/11,5月營收12.36億元,2025/06/11,2025/05,,73.1
3016,28.8,0.1,1.8,-5.7,1.9,-93.0,,,2025/06/13,2025/04,,17.0
3017,38.8,10.5,9.2,87.0,8.5,100.6,,5月營收98.80億元,,2025/05,,74.3
3019,27.9,1.9,2.7,19.0,8.8,62.4,2025/06/24,5月營收22.57億元,,2025/05,,50.0
3024,27.7,1.8,1.3,57.5,31.2,152.5,,,2025/06/20,2025/04,,11.2
3025,5.7,0.3,3.2,-10.4,12.5,-91.9,,5月營收0.25億元,2025/06/26,2025/05,,15.4
3027,11.6,1.7,1.9,169.5,91.6,-22.8,,,,2025/04,,18.6
3029,16.7,4.6,3.7,12.8,-11.3,37.1,,5月營收18.37億元,,2025/05,,29.4
3030,23.6,6.7,3.4,73.4,36.4,26.9,2025/06/13,5月營收9.33億元,,2025/05,,37.6
3032,11.3,4.3,2.2,35.9,15.0,10.7,,,2025/06/20,2025/04,,31.0
3033,47.9,3.0,1.5,46.1,-12.5,91.0,,,2025/06/20,2025/04,,21.7
3034,60.8,7.5,4.1,2.0,-5.6,7.6,,5月營收86.07億元,,2025/05,,120.1
3035,26.1,2.6,3.5,94.2,-0.4,26.4,2025/06/17,5月營收16.92億元,,2025/05,,50.9
3036,112.1,2.6,1.5,34.9,33.2,67.8,2025/06/30,4月營收1180.89億元,,2025/04,,86.0
3037,153.0,0.9,1.6,10.1,-2.7,-65.3,,5月營收106.21億元,2025/06/17,2025/05,,62.0
3042,34.3,2.8,2.0,12.6,-13.3,-12.4,2025/06/16,5月營收11.02億元,,2025/05,,49.3
3043,3.9,2.0,1.4,34.3,-7.3,-12.4,,,2025/06/24,2025/04,,18.1
