代碼,股本,ROE%,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
2419,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2420,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2421,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2425,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2426,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2427,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2429,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2436,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2438,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2439,25.52,10.63,13.81,1.56,1.03,1.0,87.22,,,,2024/09,
2442,26.18,4.54,11.82,1.36,19.35,-83.25,90.09,,,,2024/09,
2449,122.27,5.40,24.43,3.96,11.8,-0.34,20.29,,,,2024/09,
2451,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2453,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2454,160.17,15.06,20.38,5.34,23.83,7.58,75.06,2025/01/02,9月營收446.76億元,,2024/09,
2455,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2457,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2458,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2464,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2465,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2467,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2474,68.04,4.93,13.35,0.94,23.42,-12.13,49.26,,11/6法說會,,2024/09,
2476,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2477,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2486,23.40,0.62,254.9,5.94,10.94,2.94,-69.13,,,,2024/09,
2489,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2492,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2495,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2497,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2498,83.26,-11.62,0.0,1.63,-43.84,65.94,-4.06,,9月營收3.38億元,,2024/09,
2501,115.96,3.06,11.98,1.11,43.68,17.11,52.31,,,,2024/09,
2504,118.00,10.99,14.24,2.67,3.83,-7.96,71.98,,,,2024/09,
2505,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2506,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2511,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2515,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2520,55.42,13.78,5.38,1.15,26.57,17.32,220.92,,,,2024/09,
2524,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2527,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2528,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2530,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2534,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2536,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2537,30.06,3.67,31.67,1.08,-99.3,-19.06,387.76,,,,2024/09,
2538,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2539,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2540,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2542,0.00,0.00,0.0,0.0,0.0,0.0,0.0,,,,--,
2543,0.00,0.00,0.0,0.0,0.0,0.0,0.0,,,,--,
2545,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2547,95.51,-1.24,0.0,0.85,7.84,-8.73,-14.71,,,,2024/09,
2548,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
